# WD Blue SN5000 2TB /dev/nvme1n1 blocking read T(s), O_DIRECT raw
# size_bytes,ncmd,floor_us,p50rr_us
4096,1,47.70,89.59
8192,1,57.32,77.82
12288,1,57.96,94.70
16384,1,63.11,98.60
20480,1,61.01,102.04
24576,1,63.19,103.51
28672,1,63.82,102.96
32768,1,74.45,113.56
36864,1,66.97,109.13
40960,1,68.77,108.26
45056,1,69.47,111.47
49152,1,74.93,110.18
53248,1,73.46,114.67
57344,1,75.33,115.19
61440,1,75.82,117.20
65536,1,51.08,115.92
69632,1,46.25,117.49
73728,1,76.99,112.63
77824,1,76.49,116.27
81920,1,76.71,117.55
86016,1,48.46,118.94
90112,1,77.05,118.61
94208,1,77.60,120.06
98304,1,78.98,121.84
102400,1,79.26,120.30
106496,1,79.34,120.44
110592,1,79.16,122.07
114688,1,78.53,122.77
118784,1,80.20,123.41
122880,1,79.76,124.00
126976,1,80.73,125.19
131072,1,82.69,97.25
135168,1,82.78,128.48
139264,1,84.25,131.46
143360,1,85.51,150.61
147456,1,88.81,156.64
151552,1,88.22,154.59
155648,1,90.32,155.49
159744,1,89.79,160.31
163840,1,100.68,144.30
167936,1,93.93,164.41
172032,1,97.19,160.34
176128,1,97.72,168.12
180224,1,101.12,168.58
184320,1,100.63,169.44
188416,1,101.49,171.33
192512,1,102.17,172.13
196608,1,103.43,176.05
200704,1,102.84,175.33
204800,1,103.21,174.01
208896,1,103.94,176.37
212992,1,104.16,175.63
217088,1,103.81,176.52
221184,1,104.40,179.81
225280,1,104.66,180.34
229376,1,107.69,179.08
233472,1,107.61,181.64
237568,1,107.61,180.26
241664,1,107.48,183.59
245760,1,108.50,183.87
249856,1,107.88,204.10
253952,1,107.86,206.95
258048,1,109.47,207.97
262144,1,105.57,158.96
266240,1,109.41,212.08
270336,1,111.36,212.45
274432,1,113.49,215.18
278528,1,113.58,217.46
282624,1,116.02,216.63
286720,1,115.01,216.35
290816,1,117.02,218.72
294912,1,124.98,217.46
299008,1,121.82,218.70
303104,1,124.70,220.75
307200,1,125.15,220.06
311296,1,127.73,220.09
315392,1,125.61,221.69
319488,1,129.06,222.49
323584,1,129.79,223.82
327680,1,126.70,220.62
331776,1,128.63,224.98
335872,1,130.35,225.07
339968,1,130.26,226.72
344064,1,129.45,226.97
348160,1,129.18,227.41
352256,1,130.31,228.76
356352,1,132.35,228.43
360448,1,130.79,228.16
364544,1,129.62,230.44
368640,1,129.62,233.52
372736,1,129.81,231.01
376832,1,134.37,232.89
380928,1,131.39,244.64
385024,1,135.73,236.28
389120,1,131.51,235.92
393216,1,133.75,271.43
397312,1,132.13,237.53
401408,1,128.13,236.50
405504,1,136.84,242.49
409600,1,141.60,237.93
413696,1,141.81,244.27
417792,1,144.09,243.85
421888,1,140.26,251.16
425984,1,150.06,256.02
430080,1,147.41,264.30
434176,1,148.80,266.55
438272,1,149.40,266.16
442368,1,150.55,266.07
446464,1,131.49,267.02
450560,1,152.94,267.27
454656,1,151.64,269.02
458752,1,150.42,256.20
462848,1,154.09,271.62
466944,1,153.64,279.14
471040,1,152.75,273.33
475136,1,151.22,274.75
479232,1,156.72,276.15
483328,1,154.57,276.28
487424,1,156.17,280.06
491520,1,152.40,273.75
495616,1,154.28,282.98
499712,1,152.89,283.58
503808,1,155.72,285.14
507904,1,155.53,282.95
512000,1,155.62,289.42
516096,1,155.12,291.94
520192,1,156.48,291.22
524288,1,153.96,277.41
528384,1,155.66,292.96
532480,1,159.08,293.77
536576,1,161.08,308.55
540672,1,166.77,289.11
544768,1,169.46,295.24
548864,1,164.55,302.26
552960,1,169.39,304.49
557056,1,180.75,297.46
561152,1,173.69,308.79
565248,1,171.45,309.48
